test1,test2,test3,test4,test5,test6,test7,test8,test9,test10,test11,test12,test13,test14,test15,test16,City
OSU_Year,OSU_pts,OSU_phone,OSU_run,OSU_adjpass,OSU_adjrun,OSU_home,OSU_win,PSU_Year,PSU_pts,PSU_pass,PSU_run,PSU_adjpass,PSU_adjrun,PSU_home,PSU_win,
2016,77,814-777-3633,359,41.7,35.9,1,1,2016,33,209,145,20.9,14.5,1,1,Lincoln
2016,48,814-777-3634,268,14.9,26.8,1,1,2016,39,332,74,33.2,7.4,0,0,Bolingbrook
2016,45,814-777-3635,291,15.2,29.1,0,1,2016,34,287,116,28.7,11.6,1,1,Glendale Heights
2016,58,814-777-3636,410,25.9,41,1,1,2016,10,121,70,12.1,7,0,0,Hinsdale
2016,38,814-777-3637,290,9.3,29,1,1,2016,29,335,136,33.5,13.6,1,1,La Grange
2016,30,814-777-3638,185,22.6,18.5,0,1,2016,38,152,372,15.2,37.2,1,1,Normal
2016,21,814-777-3639,168,24.5,16.8,0,0,2016,24,154,165,15.4,16.5,1,1,Oak lawn
2016,24,814-777-3640,208,22.3,20.8,1,1,2016,62,254,257,25.4,25.7,0,1,Libertyville
2016,62,814-777-3641,238,35.2,23.8,1,1,2016,41,240,359,24,35.9,1,1,Eureka
2016,62,814-777-3642,253,32.8,25.3,0,1,2016,45,332,77,33.2,7.7,0,1,Downers Grove
2016,17,814-777-3643,224,8.6,22.4,0,1,2016,39,210,339,21,33.9,0,1,Barrington
2016,30,814-777-3644,206,12.4,20.6,1,1,2016,45,386,77,38.6,7.7,1,1,Chicago
2016,0,814-777-3645,88,12.7,8.8,0,0,2016,38,384,51,38.4,5.1,0,1,Park Ridge
2017,49,814-777-3646,292,30.4,29.2,0,1,2016,49,254,211,25.4,21.1,0,0,Elgin
2017,16,814-777-3647,167,18.3,16.7,1,0,2017,52,322,247,32.2,24.7,1,1,Hazel Crest
2017,38,814-777-3648,270,31.6,27,1,1,2017,33,164,148,16.4,14.8,1,1,Chicago
2017,54,814-777-3649,190,47.4,19,1,1,2017,56,360,166,36,16.6,1,1,Hoffman Estates
2017,56,814-777-3650,278,35.3,27.8,0,1,2017,21,284,295,28.4,29.5,0,1,Elk Grove Village
2017,62,814-777-3651,281,30.3,28.1,1,1,2017,45,331,39,33.1,3.9,1,1,Alton
2017,56,814-777-3652,279,35.4,27.9,0,1,2017,31,286,95,28.6,9.5,0,1,Maryville
2017,39,814-777-3653,201,32.8,20.1,1,1,2017,42,282,224,28.2,22.4,1,1,Chicago
2017,24,814-777-3654,163,20.8,16.3,0,0,2017,38,192,91,19.2,9.1,0,0,Chicago
2017,48,814-777-3655,335,18.9,33.5,1,1,2017,24,401,65,40.1,6.5,0,0,Quincy
2017,52,814-777-3656,325,21.8,32.5,1,1,2017,35,214,90,21.4,9,1,1,Urbana
2017,31,814-777-3657,226,12.4,22.6,0,1,2017,56,346,263,34.6,26.3,1,1,Carlinville
2017,27,814-777-3658,238,21.1,23.8,0,1,2017,66,248,286,24.8,28.6,0,1,Huntley
2017,24,814-777-3659,163,11.4,16.3,0,1,2017,35,342,203,34.2,20.3,0,1,McHenry
2018,77,814-777-3660,377,34.6,37.7,1,1,2018,45,230,204,23,20.4,1,1,Woodstock
2018,52,814-777-3661,225,35.4,22.5,1,1,2018,51,179,211,17.9,21.1,0,1,Winfield
2018,40,814-777-3662,182,34.4,18.2,1,1,2018,63,346,297,34.6,29.7,1,1,Sterling
2018,49,814-777-3663,151,41.9,15.1,0,1,2018,63,204,387,20.4,38.7,0,1,Des Plaines